shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SHP-R2-D0,42.0089,21.3565,1,0.0
SHP-R2-D0,42.0071,21.36655,2,854.1
SHP-R2-D0,42.0043,21.3776,3,1818.8
SHP-R2-D0,42.00275,21.386,4,2534.0
SHP-R2-D0,42.0022,21.3934,5,3148.5
SHP-R2-D0,42.00375,21.3985,6,3603.8
SHP-R2-D0,42.0043,21.4046,7,4111.5
SHP-R2-D0,42.0021,21.4087,8,4529.4
SHP-R2-D0,42.0009,21.4118,9,4818.2
SHP-R2-D0,42.00045,21.41655,10,5213.9
SHP-R2-D0,41.999,21.4223,11,5715.7
SHP-R2-D0,41.9961,21.4238,12,6061.1
SHP-R2-D0,41.9942,21.4243,13,6276.4
SHP-R2-D0,41.99495,21.42735,14,6541.9
SHP-R2-D0,41.9947,21.4314,15,6877.7
SHP-R2-D0,41.9929,21.43645,16,7340.6
SHP-R2-D0,41.9921,21.4405,17,7686.9
SHP-R2-D0,41.9894,21.44215,18,8016.7
SHP-R2-D0,41.9857,21.4448,19,8482.7
SHP-R2-D0,41.982,21.4542,20,9361.9
SHP-R2-D0,41.9793,21.4626,21,10118.4
SHP-R2-D0,41.9786,21.4667,22,10466.1
SHP-R2-D0,41.9769,21.4718,23,10928.1
SHP-R2-D0,41.9741,21.47845,24,11559.9
SHP-R2-D0,41.9723,21.4841,25,12068.1
SHP-R2-D1,41.9723,21.4841,1,0.0
SHP-R2-D1,41.9751,21.47745,2,631.8
SHP-R2-D1,41.9769,21.4718,3,1139.9
SHP-R2-D1,41.9776,21.4677,4,1487.7
SHP-R2-D1,41.9793,21.4626,5,1949.7
SHP-R2-D1,41.983,21.4532,6,2828.9
SHP-R2-D1,41.9857,21.4448,7,3585.3
SHP-R2-D1,41.9884,21.44315,8,3915.1
SHP-R2-D1,41.9921,21.4405,9,4381.1
SHP-R2-D1,41.9939,21.43545,10,4844.0
SHP-R2-D1,41.9947,21.4314,11,5190.3
SHP-R2-D1,41.99395,21.42835,12,5455.8
SHP-R2-D1,41.9942,21.4243,13,5791.7
SHP-R2-D1,41.9971,21.4228,14,6137.1
SHP-R2-D1,41.999,21.4223,15,6352.4
SHP-R2-D1,41.99945,21.41755,16,6748.1
SHP-R2-D1,42.0009,21.4118,17,7249.8
SHP-R2-D1,42.0031,21.4077,18,7667.7
SHP-R2-D1,42.0043,21.4046,19,7956.5
SHP-R2-D1,42.00275,21.3995,20,8411.8
SHP-R2-D1,42.0022,21.3934,21,8919.6
SHP-R2-D1,42.00375,21.385,22,9634.8
SHP-R2-D1,42.0043,21.3776,23,10249.3
SHP-R2-D1,42.0061,21.36755,24,11103.4
SHP-R2-D1,42.0089,21.3565,25,12068.1
SHP-R5-D0,42.0329,21.4487,1,0.0
SHP-R5-D0,42.0266,21.4527,2,774.5
SHP-R5-D0,42.0193,21.4577,3,1685.3
SHP-R5-D0,42.01425,21.45475,4,2297.4
SHP-R5-D0,42.0102,21.4508,5,2853.6
SHP-R5-D0,42.01155,21.444,6,3435.1
SHP-R5-D0,42.0119,21.4382,7,3915.9
SHP-R5-D0,42.0059,21.4391,8,4587.2
SHP-R5-D0,42.0009,21.439,9,5143.2
