trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
R2-D0-WD-0600,06:00:00,06:00:00,S10,1,,0,0,0.0
R2-D0-WD-0600,06:06:00,06:06:00,S09,2,,0,0,1816.9
R2-D0-WD-0600,06:10:30,06:10:30,S08,3,,0,0,3143.1
R2-D0-WD-0600,06:14:00,06:14:00,S07,4,,0,0,4097.6
R2-D0-WD-0600,06:17:00,06:17:00,S12,5,,0,0,4802.5
R2-D0-WD-0600,06:20:30,06:20:30,S11,6,,0,0,5695.5
R2-D0-WD-0600,06:23:00,06:23:00,S27,7,,0,0,6254.3
R2-D0-WD-0600,06:25:30,06:25:30,S02,8,,0,0,6843.6
R2-D0-WD-0600,06:28:30,06:28:30,S23,9,,0,0,7649.3
R2-D0-WD-0600,06:31:30,06:31:30,S01,10,,0,0,8444.8
R2-D0-WD-0600,06:37:00,06:37:00,S13,11,,0,0,10079.1
R2-D0-WD-0600,06:40:00,06:40:00,S14,12,,0,0,10885.1
R2-D0-WD-0600,06:44:00,06:44:00,S15,13,,0,0,12023.3
R2-D0-WD-0620,06:20:00,06:20:00,S10,1,,0,0,0.0
R2-D0-WD-0620,06:26:00,06:26:00,S09,2,,0,0,1816.9
R2-D0-WD-0620,06:30:30,06:30:30,S08,3,,0,0,3143.1
R2-D0-WD-0620,06:34:00,06:34:00,S07,4,,0,0,4097.6
R2-D0-WD-0620,06:37:00,06:37:00,S12,5,,0,0,4802.5
R2-D0-WD-0620,06:40:30,06:40:30,S11,6,,0,0,5695.5
R2-D0-WD-0620,06:43:00,06:43:00,S27,7,,0,0,6254.3
R2-D0-WD-0620,06:45:30,06:45:30,S02,8,,0,0,6843.6
R2-D0-WD-0620,06:48:30,06:48:30,S23,9,,0,0,7649.3
R2-D0-WD-0620,06:51:30,06:51:30,S01,10,,0,0,8444.8
R2-D0-WD-0620,06:57:00,06:57:00,S13,11,,0,0,10079.1
R2-D0-WD-0620,07:00:00,07:00:00,S14,12,,0,0,10885.1
R2-D0-WD-0620,07:04:00,07:04:00,S15,13,,0,0,12023.3
R2-D0-WD-0640,06:40:00,06:40:00,S10,1,,0,0,0.0
R2-D0-WD-0640,06:46:00,06:46:00,S09,2,,0,0,1816.9
R2-D0-WD-0640,06:50:30,06:50:30,S08,3,,0,0,3143.1
R2-D0-WD-0640,06:54:00,06:54:00,S07,4,,0,0,4097.6
R2-D0-WD-0640,06:57:00,06:57:00,S12,5,,0,0,4802.5
R2-D0-WD-0640,07:00:30,07:00:30,S11,6,,0,0,5695.5
R2-D0-WD-0640,07:03:00,07:03:00,S27,7,,0,0,6254.3
R2-D0-WD-0640,07:05:30,07:05:30,S02,8,,0,0,6843.6
R2-D0-WD-0640,07:08:30,07:08:30,S23,9,,0,0,7649.3
R2-D0-WD-0640,07:11:30,07:11:30,S01,10,,0,0,8444.8
R2-D0-WD-0640,07:17:00,07:17:00,S13,11,,0,0,10079.1
R2-D0-WD-0640,07:20:00,07:20:00,S14,12,,0,0,10885.1
R2-D0-WD-0640,07:24:00,07:24:00,S15,13,,0,0,12023.3
R2-D0-WD-0700,07:00:00,07:00:00,S10,1,,0,0,0.0
R2-D0-WD-0700,07:06:00,07:06:00,S09,2,,0,0,1816.9
R2-D0-WD-0700,07:10:30,07:10:30,S08,3,,0,0,3143.1
R2-D0-WD-0700,07:14:00,07:14:00,S07,4,,0,0,4097.6
R2-D0-WD-0700,07:17:00,07:17:00,S12,5,,0,0,4802.5
R2-D0-WD-0700,07:20:30,07:20:30,S11,6,,0,0,5695.5
R2-D0-WD-0700,07:23:00,07:23:00,S27,7,,0,0,6254.3
R2-D0-WD-0700,07:25:30,07:25:30,S02,8,,0,0,6843.6
R2-D0-WD-0700,07:28:30,07:28:30,S23,9,,0,0,7649.3
R2-D0-WD-0700,07:31:30,07:31:30,S01,10,,0,0,8444.8
R2-D0-WD-0700,07:37:00,07:37:00,S13,11,,0,0,10079.1
R2-D0-WD-0700,07:40:00,07:40:00,S14,12,,0,0,10885.1
R2-D0-WD-0700,07:44:00,07:44:00,S15,13,,0,0,12023.3
R2-D0-WD-0720,07:20:00,07:20:00,S10,1,,0,0,0.0
R2-D0-WD-0720,07:26:00,07:26:00,S09,2,,0,0,1816.9
R2-D0-WD-0720,07:30:30,07:30:30,S08,3,,0,0,3143.1
R2-D0-WD-0720,07:34:00,07:34:00,S07,4,,0,0,4097.6
R2-D0-WD-0720,07:37:00,07:37:00,S12,5,,0,0,4802.5
R2-D0-WD-0720,07:40:30,07:40:30,S11,6,,0,0,5695.5
R2-D0-WD-0720,07:43:00,07:43:00,S27,7,,0,0,6254.3
R2-D0-WD-0720,07:45:30,07:45:30,S02,8,,0,0,6843.6
R2-D0-WD-0720,07:48:30,07:48:30,S23,9,,0,0,7649.3
R2-D0-WD-0720,07:51:30,07:51:30,S01,10,,0,0,8444.8
R2-D0-WD-0720,07:57:00,07:57:00,S13,11,,0,0,10079.1
R2-D0-WD-0720,08:00:00,08:00:00,S14,12,,0,0,10885.1
R2-D0-WD-0720,08:04:00,08:04:00,S15,13,,0,0,12023.3
R2-D0-WD-0740,07:40:00,07:40:00,S10,1,,0,0,0.0
R2-D0-WD-0740,07:46:00,07:46:00,S09,2,,0,0,1816.9
R2-D0-WD-0740,07:50:30,07:50:30,S08,3,,0,0,3143.1
R2-D0-WD-0740,07:54:00,07:54:00,S07,4,,0,0,4097.6
R2-D0-WD-0740,07:57:00,07:57:00,S12,5,,0,0,4802.5
R2-D0-WD-0740,08:00:30,08:00:30,S11,6,,0,0,5695.5
R2-D0-WD-0740,08:03:00,08:03:00,S27,7,,0,0,6254.3
R2-D0-WD-0740,08:05:30,08:05:30,S02,8,,0,0,6843.6
R2-D0-WD-0740,08:08:30,08:08:30,S23,9,,0,0,7649.3
R2-D0-WD-0740,08:11:30,08:11:30,S01,10,,0,0,8444.8
R2-D0-WD-0740,08:17:00,08:17:00,S13,11,,0,0,10079.1
R2-D0-WD-0740,08:20:00,08:20:00,S14,12,,0,0,10885.1
R2-D0-WD-0740,08:24:00,08:24:00,S15,13,,0,0,12023.3
R2-D0-WD-0800,08:00:00,08:00:00,S10,1,,0,0,0.0
R2-D0-WD-0800,08:06:00,08:06:00,S09,2,,0,0,1816.9
R2-D0-WD-0800,08:10:30,08:10:30,S08,3,,0,0,3143.1
R2-D0-WD-0800,08:14:00,08:14:00,S07,4,,0,0,4097.6
R2-D0-WD-0800,08:17:00,08:17:00,S12,5,,0,0,4802.5
R2-D0-WD-0800,08:20:30,08:20:30,S11,6,,0,0,5695.5
R2-D0-WD-0800,08:23:00,08:23:00,S27,7,,0,0,6254.3
R2-D0-WD-0800,08:25:30,08:25:30,S02,8,,0,0,6843.6
R2-D0-WD-0800,08:28:30,08:28:30,S23,9,,0,0,7649.3
R2-D0-WD-0800,08:31:30,08:31:30,S01,10,,0,0,8444.8
R2-D0-WD-0800,08:37:00,08:37:00,S13,11,,0,0,10079.1
R2-D0-WD-0800,08:40:00,08:40:00,S14,12,,0,0,10885.1
R2-D0-WD-0800,08:44:00,08:44:00,S15,13,,0,0,12023.3
R2-D0-WD-0820,08:20:00,08:20:00,S10,1,,0,0,0.0
R2-D0-WD-0820,08:26:00,08:26:00,S09,2,,0,0,1816.9
R2-D0-WD-0820,08:30:30,08:30:30,S08,3,,0,0,3143.1
R2-D0-WD-0820,08:34:00,08:34:00,S07,4,,0,0,4097.6
R2-D0-WD-0820,08:37:00,08:37:00,S12,5,,0,0,4802.5
R2-D0-WD-0820,08:40:30,08:40:30,S11,6,,0,0,5695.5
R2-D0-WD-0820,08:43:00,08:43:00,S27,7,,0,0,6254.3
R2-D0-WD-0820,08:45:30,08:45:30,S02,8,,0,0,6843.6
R2-D0-WD-0820,08:48:30,08:48:30,S23,9,,0,0,7649.3
R2-D0-WD-0820,08:51:30,08:51:30,S01,10,,0,0,8444.8
R2-D0-WD-0820,08:57:00,08:57:00,S13,11,,0,0,10079.1
R2-D0-WD-0820,09:00:00,09:00:00,S14,12,,0,0,10885.1
R2-D0-WD-0820,09:04:00,09:04:00,S15,13,,0,0,12023.3
R2-D0-WD-0840,08:40:00,08:40:00,S10,1,,0,0,0.0
R2-D0-WD-0840,08:46:00,08:46:00,S09,2,,0,0,1816.9
R2-D0-WD-0840,08:50:30,08:50:30,S08,3,,0,0,3143.1
R2-D0-WD-0840,08:54:00,08:54:00,S07,4,,0,0,4097.6
R2-D0-WD-0840,08:57:00,08:57:00,S12,5,,0,0,4802.5
R2-D0-WD-0840,09:00:30,09:00:30,S11,6,,0,0,5695.5
R2-D0-WD-0840,09:03:00,09:03:00,S27,7,,0,0,6254.3
R2-D0-WD-0840,09:05:30,09:05:30,S02,8,,0,0,6843.6
R2-D0-WD-0840,09:08:30,09:08:30,S23,9,,0,0,7649.3
R2-D0-WD-0840,09:11:30,09:11:30,S01,10,,0,0,8444.8
R2-D0-WD-0840,09:17:00,09:17:00,S13,11,,0,0,10079.1
R2-D0-WD-0840,09:20:00,09:20:00,S14,12,,0,0,10885.1
R2-D0-WD-0840,09:24:00,09:24:00,S15,13,,0,0,12023.3
R2-D0-WD-0900,09:00:00,09:00:00,S10,1,,0,0,0.0
R2-D0-WD-0900,09:06:00,09:06:00,S09,2,,0,0,1816.9
R2-D0-WD-0900,09:10:30,09:10:30,S08,3,,0,0,3143.1
R2-D0-WD-0900,09:14:00,09:14:00,S07,4,,0,0,4097.6
R2-D0-WD-0900,09:17:00,09:17:00,S12,5,,0,0,4802.5
R2-D0-WD-0900,09:20:30,09:20:30,S11,6,,0,0,5695.5
R2-D0-WD-0900,09:23:00,09:23:00,S27,7,,0,0,6254.3
R2-D0-WD-0900,09:25:30,09:25:30,S02,8,,0,0,6843.6
R2-D0-WD-0900,09:28:30,09:28:30,S23,9,,0,0,7649.3
R2-D0-WD-0900,09:31:30,09:31:30,S01,10,,0,0,8444.8
R2-D0-WD-0900,09:37:00,09:37:00,S13,11,,0,0,10079.1
R2-D0-WD-0900,09:40:00,09:40:00,S14,12,,0,0,10885.1
R2-D0-WD-0900,09:44:00,09:44:00,S15,13,,0,0,12023.3
R2-D0-WD-0920,09:20:00,09:20:00,S10,1,,0,0,0.0
R2-D0-WD-0920,09:26:00,09:26:00,S09,2,,0,0,1816.9
R2-D0-WD-0920,09:30:30,09:30:30,S08,3,,0,0,3143.1
R2-D0-WD-0920,09:34:00,09:34:00,S07,4,,0,0,4097.6
R2-D0-WD-0920,09:37:00,09:37:00,S12,5,,0,0,4802.5
R2-D0-WD-0920,09:40:30,09:40:30,S11,6,,0,0,5695.5
R2-D0-WD-0920,09:43:00,09:43:00,S27,7,,0,0,6254.3
R2-D0-WD-0920,09:45:30,09:45:30,S02,8,,0,0,6843.6
R2-D0-WD-0920,09:48:30,09:48:30,S23,9,,0,0,7649.3
