route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
R2,WEEKDAY,R2-D0-WD-0600,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-0620,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-0640,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-0700,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-0720,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-0740,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-0800,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-0820,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-0840,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-0900,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-0920,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-0940,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1000,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1020,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1040,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1100,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1120,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1140,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1200,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1220,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1240,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1300,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1320,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1340,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1400,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1420,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1440,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1500,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1520,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1540,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1600,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1620,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1640,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1700,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1720,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1740,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1800,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1820,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1840,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1900,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1920,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-1940,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-2000,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-2020,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-2040,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-2100,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-2120,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-2140,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-2200,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-2220,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-2240,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D0-WD-2300,Novo Lisice,0,,SHP-R2-D0
R2,WEEKDAY,R2-D1-WD-0600,Gjorche Petrov,1,,SHP-R2-D1
R2,WEEKDAY,R2-D1-WD-0620,Gjorche Petrov,1,,SHP-R2-D1
R2,WEEKDAY,R2-D1-WD-0640,Gjorche Petrov,1,,SHP-R2-D1
R2,WEEKDAY,R2-D1-WD-0700,Gjorche Petrov,1,,SHP-R2-D1
R2,WEEKDAY,R2-D1-WD-0720,Gjorche Petrov,1,,SHP-R2-D1
R2,WEEKDAY,R2-D1-WD-0740,Gjorche Petrov,1,,SHP-R2-D1
R2,WEEKDAY,R2-D1-WD-0800,Gjorche Petrov,1,,SHP-R2-D1
R2,WEEKDAY,R2-D1-WD-0820,Gjorche Petrov,1,,SHP-R2-D1
R2,WEEKDAY,R2-D1-WD-0840,Gjorche Petrov,1,,SHP-R2-D1
R2,WEEKDAY,R2-D1-WD-0900,Gjorche Petrov,1,,SHP-R2-D1
